Year,burg,rob
1980,18,3
1981,16,3
1982,24,11
1983,20,10
1984,25,12
1985,22,25
1986,23,27
1987,21,19
1988,16,13
1989,28,19
1990,26,21
1991,27,26
1992,27,19
1993,30,26
1994,26,26
1995,28,34
1996,28,18
1997,37,23
1998,31,30
1999,25,29
2000,28,31
2001,21,35
2002,26,51
2003,20,66
2004,20,73
2005,16,65
2006,16,74
2007,14,65
2008,18,75
2009,19,79
2010,16,75
2011,21,75
2012,21,65
2013,12,71
2014,19,81
2015,20,74
2016,22,76
2017,19,50
2018,16,60
2019,15,61
2020,21,54
2021,28,33
